"FECHA","NRO_FACTURA","DESCRIPCION","MONTO","TIPO"
02/02/2012,"001-021-3679814","ANDE",206040,"E"
02/02/2012,"001-021-3679815","ANDE",41820,"E"
02/02/2012,"001-001-0009192","REBECA",11230,"E"
05/02/2012,"002-002-0387583","STOCK",9140,"E"
06/02/2012,"001-001-0009277","REBECA",4420,"E"
07/02/2012,"001-001-0002109","CIBB",2452000,"E"
08/02/2012,"001-001-0288068","ECORESA",90000,"E"
10/02/2012,"001-085-0007752","EL MACHETAZO",58030,"E"
10/02/2012,"001-001-3466368","ESSAP",35000,"E"
10/02/2012,"005-002-0021943","NOVA",63000,"E"
13/02/2012,"001-088-0007952","EL MACHETAZO",8970,"E"
14/02/2012,"001-001-0022298","TIENDA JUANITA",35000,"E"
17/02/2012,"002-007-0668409","STOCK",52500,"E"
18/02/2012,"001-001-0022355","TIENDA JUANITA",22500,"E"
22/02/2012,"001-005-2140193","COPACO",153011,"E"
29/02/2012,"002-001-0000527","IBB",6793100,"I"
29/02/2012,"002-001-0000581","IBB",2596000,"E"
29/02/2012,"002-001-0000582","IBB",609000,"E"
29/02/2012,"001-003-0014382","REFLEXION, MUSICA Y LIBROS",238400,"E"
04/03/2012,"002-012-0459237","STOCK",10030,"E"
06/03/2012,"001-021-3983125","ANDE",406000,"E"
06/03/2012,"001-001-3659261","ESSAP",33648,"E"
06/03/2012,"002-001-0156259","RYSA",15000,"E"
15/03/2012,"001-002-0000317","RINCON CRISTIANO",80000,"E"
15/03/2012,"002-001-0377093","STOCK",94970,"E"
23/03/2012,"001-005-2542710","COPACO",204508,"E"
23/03/2012,"002-006-0310121","STOCK",31145,"E"
24/03/2012,"001-001-0003319","ADRI ELECTRONICA & CAR AUDIO",40000,"E"
24/03/2012,"001-001-0024296","ELECTRO SANIFER",12500,"E"
24/03/2012,"001-006-0498664","SALEMMA",123503,"E"
24/03/2012,"002-007-0685073","STOCK",55451,"E"
25/03/2012,"002-001-0000584","IBB",150000,"E"
28/03/2012,"005-001-0025114","NOVA",41630,"E"
30/03/2012,"002-002-0404381","STOCK",30971,"E"
31/03/2012,"002-001-0000528","IBB",10817300,"I"
31/03/2012,"002-001-0000585","IBB",798500,"E"
31/03/2012,"002-001-0000586","IBB",250000,"E"
31/03/2012,"002-001-0000587","IBB",208000,"E"
31/03/2012,"002-001-0000588","IBB",400000,"E"
31/03/2012,"002-001-0000589","IBB",2176000,"E"
31/03/2012,"002-001-0000590","IBB",136900,"E"
31/03/2012,"002-005-0553179","STOCK",92350,"E"
01/04/2012,"002-012-0468893","STOCK",10030,"E"
02/04/2012,"001185-00098819","ANDE",360000,"E"
02/04/2012,"001185-00098820","ANDE",576000,"E"
02/04/2012,"001185-00098821","ANDE",46920,"E"
02/04/2012,"001-037-0117447","SALEMMA",57200,"E"
03/04/2012,"002-001-0159155","RYSA",15000,"E"
04/04/2012,"001-001-0014345","DESPENSA CAMILA",38000,"E"
10/04/2012,"001-001-3852458","ESSAP",33648,"E"
10/04/2012,"003-001-0063281","MITO",160000,"E"
13/04/2012,"001-001-0050442","PINTURERIA SAN LORENZO",75000,"E"
13/04/2012,"001-001-0050471","PINTURERIA SAN LORENZO",150000,"E"
14/04/2012,"002-034-0233310","STOCK",96330,"E"
17/04/2012,"001-001-0050930","PINTURERIA SAN LORENZO",75000,"E"
19/04/2012,"001-001-0001001","BRIAN",40000,"E"
19/04/2012,"001-001-0091174","CARPICENTER",128040,"E"
20/04/2012,"001-001-0004191","THE SONG",900000,"E"
21/04/2012,"001-001-000552","AMOR VERDADERO PRODUCCIONES",250000,"E"
22/04/2012,"007-003-0249914","FARMACENTER",18200,"E"
24/04/2012,"001-005-2945542","COPACO",224689,"E"
24/04/2012,"003-001-0045371","SHOPPING TODO HOGAR",11800,"E"
26/04/2012,"003-001-0045466","SHOPPING TODO HOGAR",9450,"E"
30/04/2012,"001-001-0004724","FERRETERIA TRES HERMANOS",25000,"E"
02/05/2012,"012-003-0114711","URBIWORLD",66200,"E"
03/05/2012,"001-000-0006261","PC CENTER",25000,"E"
04/05/2012,"001-001-0332735","ECORESA",90000,"E"
04/05/2012,"002-003-0596283","STOCK",41861,"E"
05/05/2012,"001-001-0002707","ELECTRONICA MENDOZA",65000,"E"
07/05/2012,"001-021-4584350","ANDE",297000,"E"
07/05/2012,"001-021-4584392","ANDE",235000,"E"
07/05/2012,"001-021-4584393","ANDE",84000,"E"
07/05/2012,"002-001-0162208","RYSA",15000,"E"
10/05/2012,"005-002-0027522","NOVA",38130,"E"
10/05/2012,"001-001-0010974","REBECA",52900,"E"
11/05/2012,"002-032-0190169","STOCK",45946,"E"
17/05/2012,"001-001-4045702","ESSAP",37727,"E"
17/05/2012,"002-003-0601903","STOCK",91320,"E"
18/05/2012,"002-013-0433076","STOCK",31146,"E"
19/05/2012,"001-085-0025116","MACHETAZO",48000,"E"
19/05/2012,"001-026-0151649","SALEMMA",51010,"E"
19/05/2012,"002-032-0191304","STOCK",17360,"E"
19/05/2012,"001-005-0123417","SUPREMO",45820,"E"
19/05/2012,"001-005-0123539","SUPREMO",26026,"E"
21/05/2012,"001-005-3349003","COPACO",229689,"E"
25/05/2012,"001-004-0038640","MONSERRAT",320000,"E"
25/05/2012,"002-011-0575572","STOCK",29494,"E"
29/05/2012,"003-001-0064925","MITO",85000,"E"
31/05/2012,"001-001-0025319","ELECTRO SANIFER",120000,"E"
31/05/2012,"012-003-0002792","TECNOSERVICE",8255500,"E"
03/06/2012,"002-002-0422513","STOCK",7810,"E"
03/06/2012,"002-005-0581823","STOCK",41393,"E"
04/06/2012,"001-021-4895861","ANDE",196860,"E"
04/06/2012,"001-001-0056541","PINTURERIA SAN LORENZO",40000,"E"
05/06/2012,"001-001-0025401","ELECTRO SANIFER",16500,"E"
05/06/2012,"001-001-0000482","JORGE ARIEL HIDALGO GALEANO",600000,"E"
06/06/2012,"001-021-4880625","ANDE",137701,"E"
06/06/2012,"001-021-4880626","ANDE",61200,"E"
06/06/2012,"001-001-0002146","CIBB",3800000,"E"
06/06/2012,"001-001-4239237","ESSAP",33648,"E"
06/06/2012,"001-001-0056896","PINTURERIA SAN LORENZO",46500,"E"
08/06/2012,"002-034-0273519","STOCK",44640,"E"
09/06/2012,"001-001-0011260","REBECA",13600,"E"
10/06/2012,"001-043-0095320","SALEMMA",89100,"E"
